Ref ID,Drum diameter (cm),Safe Distance (m),Burn rate (kg/s),Unique ID,Propellant type,Mass (kg),Notes
Model,36,7.493089968,0.5,M1,Model,6.81,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,36,8.804849802,1,M2,Model,13.62,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,36,9.279850927,2,M3,Model,27.24,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,36,8.384938202,5,M4,Model,68.1,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,36,6.826139705,10,M5,Model,136.2,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,60,12.63283138,0.5,M6,Model,22.7,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,60,13.69528674,1,M7,Model,45.4,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,60,16.08381312,2,M8,Model,90.8,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,60,16.41535008,5,M9,Model,227,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,60,15.17392871,10,M10,Model,454,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,62.3538291,13.11577799,1.5,M11,Model,35.38579801,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,62.3538291,14.12408025,3,M12,Model,70.77159603,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,62.3538291,16.69827569,6,M13,Model,141.5431921,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,62.3538291,17.16533194,15,M14,Model,353.8579801,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,62.3538291,16.01783457,30,M15,Model,707.7159603,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,103.9230485,20.24435433,1.5,M16,Model,58.97633002,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,103.9230485,21.37637042,3,M17,Model,117.95266,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,103.9230485,24.21701805,6,M18,Model,235.9053201,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,103.9230485,27.82718984,15,M19,Model,589.7633002,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,103.9230485,28.29257973,30,M20,Model,1179.5266,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,95.2470472,18.9070758,3.5,M21,Model,126.122965,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,95.2470472,19.93119459,7,M22,Model,252.24593,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,95.2470472,23.05658484,14,M23,Model,504.49186,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,95.2470472,26.2458485,35,M24,Model,1261.22965,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,95.2470472,26.32828069,70,M25,Model,2522.4593,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,158.7450787,27.10960058,3.5,M26,Model,210.2049417,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,158.7450787,29.37898102,7,M27,Model,420.4098834,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,158.7450787,32.10403561,14,M28,Model,840.8197668,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,158.7450787,40.52106837,35,M29,Model,2102.049417,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
Model,158.7450787,42.36909051,70,M30,Model,4204.098834,Mass estimated from burn rates (with base burn rate of 1 equal to one barrel with correlated mass)
